Sr.No,Sample ID,Unnamed: 2,Date,Location,Kit used,CtN,CtE,CtRdRp,PCR_Result
126,SSBS/W/2021/126,S/126,16/10/2021,Someshwarwadi,Genepath,0,0,0,Negative
127,SSBS/W/2021/127,S/127,16/10/2021,Jai bhavani nagar pashan,Genepath,0,0,0,Negative
128,SSBS/W/2021/128,S/128,17/11/2021,Dattawadi under rajaram bridge,Genepath,0,39.1,0,Negative
129,SSBS/W/2021/129,S/129,17/11/2021,"Vitthalwadi hingne, off sinhagad road",Genepath,0,0,0,Negative
130,SSBS/W/2021/130,S/130,17/11/2021,Shivajinagar Juna bazaar,Genepath,0,0,0,Negative
131,SSBS/W/2021/131,S/131,17/11/2021,Yerwada Old bund garden,Genepath,0,0,0,Negative
132,SSBS/W/2021/132,S/132,17/11/2021,RTO office Yerwada,Genepath,0,0,0,Negative
133,SSBS/W/2021/133,S/133,17/11/2021,"Vishrantwadi, shantinagar",Genepath,37.4,38.35,38.9,Negative
134,SSBS/W/2021/134,S/134,18/11/2021,"Chinchwad, Aditya birla hospital",Genepath,0,0,0,Negative
135,SSBS/W/2021/135,S/135,18/11/2021,"Shastrinagar, pimpri",Genepath,40.4,0,40.36,Negative
136,SSBS/W/2021/136,S/136,18/11/2021,kasarwadi pimple gurav road,Genepath,41.2,39,39.75,Negative
137,SSBS/W/2021/137,S/137,18/11/2021,"Pimple gurav, 60 feet road",Genepath,32.72,35,35,Positive
138,SSBS/W/2021/138,S/138,18/11/2021,Dapodi / Old sangvi Bridge,Genepath,0,0,41,Negative
139,SSBS/W/2021/139,S/139,19/11/2021,Rahatni new DP road,Genepath,37.1,36.57,36.4,Negative
140,SSBS/W/2021/140,S/140,19/11/2021,Kalewadi Adarsh Nagar,Genepath,0,38.7,0,Negative
141,SSBS/W/2021/141,S/141,19/11/2021,"Wolf Colony, Pimpri",Genepath,0,0,0,Negative
142,SSBS/W/2021/142,S/142,19/11/2021,"Phugewadi/Dapodi, sai service",Genepath,0,0,0,Negative
143,SSBS/W/2021/143,S/143,19/11/2021,"Harris Bridge, Dapodi",Genepath,36.2,38.2,37.1,Negative
144,SSBS/W/2021/144,S/144,22/11/2021,Shivajinagar Vaidhawadi,Genepath,35.76,36.7,37.3,Positive
145,SSBS/W/2021/145,S/145,22/11/2021,Shivajinagar Chaturshringi,Genepath,0,38.5,0,Negative
146,SSBS/W/2021/146,S/146,22/11/2021,Sanjeevan hospital Kothrud,Genepath,39.4,38.4,0,Negative
147,SSBS/W/2021/147,S/147,22/11/2021,Karve road Kothrud,Genepath,0,0,0,Negative
148,SSBS/W/2021/148,S/148,22/11/2021,Warje Mumbai/Bangalore Highway,Genepath,37.7,39,38.31,Negative
149,SSBS/W/2021/149,S/149,22/11/2021,Kothrud Bus depot,Genepath,0,0,0,Negative
150,SSBS/W/2021/150,S/150,23/11/2021,"Baner, Mahalunge Bridge",Genepath,0,0,0,Negative
151,SSBS/W/2021/151,S/151,23/11/2021,Baner/Balewadi,Genepath,0,0,0,Negative
152,SSBS/W/2021/152,S/152,23/11/2021,"Pune/Mumbai Highway, Aundh/Sangvi",Genepath,0,0,0,Negative
153,SSBS/W/2021/153,S/153,23/11/2021,"DP road, Botanical Garden, Aundh",Genepath,0,0,0,Negative
154,SSBS/W/2021/154,S/154,23/11/2021,Someshwarwadi,Genepath,0,0,0,Negative
155,SSBS/W/2021/155,S/155,23/11/2021,Jai bhavani nagar pashan,Genepath,0,0,0,Negative
156,SSBS/W/2021/156,S/156,24/11/2021,Dattawadi under rajaram bridge,Genepath,0,0,40.5,Negative
157,SSBS/W/2021/157,S/157,24/11/2021,"Vitthalwadi hingne, off sinhagad road",Genepath,0,0,0,Negative
158,SSBS/W/2021/158,S/158,24/11/2021,Shivajinagar Juna bazaar,Genepath,0,0,0,Negative
159,SSBS/W/2021/159,S/159,24/11/2021,Yerwada Old bund garden,Genepath,0,0,0,Negative
160,SSBS/W/2021/160,S/160,24/11/2021,RTO office Yerwada,Genepath,0,0,0,Negative
161,SSBS/W/2021/161,S/161,24/11/2021,"Vishrantwadi, shantinagar",Genepath,0,38.7,0,Negative
162,SSBS/W/2021/162,S/162,25/11/2021,"Chinchwad, Aditya birla hospital",Genepath,0,0,0,Negative
163,SSBS/W/2021/163,S/163,25/11/2021,"Shastrinagar, pimpri",Genepath,0,0,0,Negative
164,SSBS/W/2021/164,S/164,25/11/2021,kasarwadi pimple gurav road,Genepath,35.6,38.2,37,Negative
165,SSBS/W/2021/165,S/165,25/11/2021,"Pimple gurav, 60 feet road",Genepath,35.6,37.4,38.8,Negative
166,SSBS/W/2021/166,S/166,25/11/2021,Dapodi / Old sangvi Bridge,Genepath,0,37.8,0,Negative
167,SSBS/W/2021/167,S/167,26/11/2021,Rahatni new DP road,Genepath,0,0,0,Negative
168,SSBS/W/2021/168,S/168,26/11/2021,Kalewadi Adarsh Nagar,Genepath,0,37.9,38.4,Negative
169,SSBS/W/2021/169,S/169,26/11/2021,"Wolf Colony, Pimpri",Genepath,0,0,0,Negative
170,SSBS/W/2021/170,S/170,26/11/2021,"Phugewadi/Dapodi, sai service",Genepath,0,0,0,Negative
171,SSBS/W/2021/171,S/171,26/11/2021,"Harris Bridge, Dapodi",Genepath,0,0,0,Negative
172,SSBS/W/2021/172,S/172,29/11/2021,Shivajinagar Vaidhawadi,Genepath,37.03,40,37.6,Negative
173,SSBS/W/2021/173,S/173,29/11/2021,Shivajinagar Chaturshringi,Genepath,31.84,34,33.4,Positive
174,SSBS/W/2021/174,S/174,29/11/2021,Sanjeevan hospital Kothrud,Genepath,0,36.7,35.43,Positive
175,SSBS/W/2021/175,S/175,29/11/2021,Karve road Kothrud,Genepath,0,0,0,Negative
176,SSBS/W/2021/176,S/176,29/11/2021,Warje Mumbai/Bangalore Highway,Genepath,33.32,36.5,36.33,Positive
177,SSBS/W/2021/177,S/177,29/11/2021,Kothrud Bus depot,Genepath,0,0,0,Negative
178,SSBS/W/2021/178,S/178,30/11/2021,"Baner, Mahalunge Bridge",Genepath,36,0,0,Negative
179,SSBS/W/2021/179,S/179,30/11/2021,Baner/Balewadi,Genepath,0,37.96,35.93,Negative
180,SSBS/W/2021/180,S/180,30/11/2021,"Pune/Mumbai Highway, Aundh/Sangvi",Genepath,0,0,0,Negative
181,SSBS/W/2021/181,S/181,30/11/2021,"DP road, Botanical Garden, Aundh",Genepath,0,37.7,36.6,Negative
182,SSBS/W/2021/182,S/182,30/11/2021,Someshwarwadi,Genepath,0,0,37.6,Negative
183,SSBS/W/2021/183,S/183,30/11/2021,Jai bhavani nagar pashan,Genepath,0,0,0,Negative
184,SSBS/W/2021/184,S/184,12/1/2021,"Vitthalwadi hingne, off sinhagad road",Genepath,36.8,33.5,36.46,Positive
185,SSBS/W/2021/185,S/185,12/1/2021,Dattawadi under rajaram bridge,Genepath,0,0,0,Negative
186,SSBS/W/2021/186,S/186,12/1/2021,Shivajinagar Juna bazaar,Genepath,36.8,40.5,0,Negative
187,SSBS/W/2021/187,S/187,12/1/2021,Yerwada Old bund garden,Genepath,0,0,0,Negative
188,SSBS/W/2021/188,S/188,12/1/2021,RTO office Yerwada,Genepath,36.26,35.24,0,Positive
189,SSBS/W/2021/189,S/189,12/1/2021,"Vishrantwadi, shantinagar",Genepath,33.37,37.3,35.8,Positive
190,SSBS/W/2021/190,S/190,12/3/2021,"Chinchwad, Aditya birla hospital",Genepath,0,0,0,Negative
191,SSBS/W/2021/191,S/191,12/3/2021,"Shastrinagar, pimpri",Genepath,0,0,0,Negative
192,SSBS/W/2021/192,S/192,12/3/2021,kasarwadi pimple gurav road,Genepath,0,0,0,Negative
193,SSBS/W/2021/193,S/193,12/3/2021,"Pimple gurav, 60 feet road",Genepath,0,0,37.5,Negative
194,SSBS/W/2021/194,S/194,12/3/2021,Dapodi / Old sangvi Bridge,Genepath,36.16,0,0,Negative
195,SSBS/W/2021/195,S/195,12/4/2021,Rahatni new DP road,Genepath,0,38.43,0,Negative
196,SSBS/W/2021/196,S/196,12/4/2021,Kalewadi Adarsh Nagar,Genepath,35.8,37.3,37.8,Negative
197,SSBS/W/2021/197,S/197,12/4/2021,"Wolf Colony, Pimpri",Genepath,0,0,0,Negative
198,SSBS/W/2021/198,S/198,12/4/2021,"Phugewadi/Dapodi, sai service",Genepath,37.88,37.82,0,Negative
199,SSBS/W/2021/199,S/199,12/4/2021,"Harris Bridge, Dapodi",Genepath,0,0,0,Negative
